iter	RMSE
0	0.3881586058
1	0.3762444468
2	0.363892467
3	0.3522543971
4	0.341981523
5	0.3324018362
6	0.3224628531
7	0.3127605081
8	0.3036028062
9	0.2952755001
10	0.2872176886
11	0.2794558383
12	0.2726718753
13	0.2660394174
14	0.2594689023
15	0.2535518806
16	0.2472973331
17	0.2420907136
18	0.2362802864
19	0.2310104014
20	0.2251906885
21	0.2203580616
22	0.2155824779
23	0.2109396938
24	0.2067975817
25	0.2029307503
26	0.1993038865
27	0.1954665961
28	0.1920480169
29	0.1891082054
30	0.1860808654
31	0.1828372584
32	0.1799877986
33	0.1772532946
34	0.1747905684
35	0.1723412999
36	0.1703484099
37	0.1679443605
38	0.1658114084
39	0.1635264359
40	0.161315496
41	0.1593419709
42	0.1575246538
43	0.1557056898
44	0.1542903567
45	0.1529374983
46	0.1517155156
47	0.1501354601
48	0.1486063638
49	0.1473856318
50	0.1460625162
51	0.1447994585
52	0.1434861556
53	0.1422457351
54	0.1412622919
55	0.1402719343
56	0.1391437827
57	0.1381083222
58	0.137034998
59	0.1362733447
60	0.1354387503
61	0.1346706921
62	0.133837782
63	0.1328333627
64	0.1318195098
65	0.1311165371
66	0.1303479079
67	0.1296914158
68	0.129023434
69	0.128159104
70	0.1274865427
71	0.1268221056
72	0.1262830321
73	0.1256090492
74	0.1249970547
75	0.1243594835
76	0.1238642078
77	0.1232719156
78	0.1227737264
79	0.1222295055
80	0.1216725415
81	0.121166742
82	0.1207480914
83	0.1203592161
84	0.1199986119
85	0.1195724027
86	0.1191051001
87	0.1186704449
88	0.1182095859
89	0.1177312478
90	0.1172546573
91	0.1169749785
92	0.1165409837
93	0.1160529664
94	0.1155732884
95	0.1152689049
96	0.1149117224
97	0.114573741
98	0.1142139343
99	0.1139899506
100	0.1136108675
101	0.1133403383
102	0.1128782214
103	0.1125674192
104	0.1121715592
105	0.1119602758
106	0.1116868425
107	0.1112754887
108	0.1109997513
109	0.1106536479
110	0.1103944343
111	0.1101080312
112	0.1098223559
113	0.1094672801
114	0.1092525031
115	0.108991332
116	0.1087115263
117	0.1084217047
118	0.1080521658
119	0.1079248191
120	0.1075765903
121	0.1073437021
122	0.107136409
123	0.1070207447
124	0.1068494225
125	0.106661146
126	0.1064358477
127	0.1061974768
128	0.1058893118
129	0.1056671206
130	0.105467204
131	0.1052781583
132	0.1050018842
133	0.1047036229
134	0.1045217966
135	0.1042011601
136	0.1040644803
137	0.1037677532
138	0.1034668468
139	0.1032168533
140	0.103010791
141	0.1026519064
142	0.1023494062
143	0.1022173866
144	0.1020405091
145	0.101923939
146	0.1017224007
147	0.1015271643
148	0.1012385086
149	0.1010666126
150	0.1009057383
151	0.1007556588
152	0.1005926583
153	0.1004595118
154	0.1003773463
155	0.1002789655
156	0.1000378988
157	0.09985136177
158	0.09964201471
159	0.09950326239
160	0.09920177222
161	0.09909191264
162	0.09876810828
163	0.09863515274
164	0.09843048996
165	0.09831721646
166	0.09806104912
167	0.09779929902
168	0.09759595297
169	0.09727419409
170	0.09699209894
171	0.09676678035
172	0.09667248385
173	0.09650003007
174	0.09624154649
175	0.09602611758
176	0.09576470916
177	0.09564208939
178	0.09543976779
179	0.09522932244
180	0.09501049896
181	0.09477384258
182	0.09454517093
183	0.09429274716
184	0.09410834739
185	0.0937765894
186	0.09360256269
187	0.09343321115
188	0.09332407663
189	0.09315135559
190	0.09306276
191	0.09283896144
192	0.09274492963
193	0.09250447066
194	0.09232679564
195	0.09218226338
196	0.0919706109
197	0.09184140881
198	0.09165739405
199	0.09150244581
200	0.09132679989
201	0.09105017792
202	0.09087283873
203	0.0907398673
204	0.09057363252
205	0.09035868023
206	0.09029449455
207	0.09011881506
208	0.08988521377
209	0.08971024866
210	0.08949868744
211	0.08925139065
212	0.08905961334
213	0.08889809241
214	0.08870796059
215	0.08854569815
216	0.08841667258
217	0.08825843716
218	0.08804758984
219	0.08794961126
220	0.08779399047
221	0.08758051756
222	0.08753968325
223	0.08736690611
224	0.08715729098
225	0.08709131971
226	0.08687816996
227	0.0867930647
228	0.08658553311
229	0.08641074463
230	0.08618497441
231	0.08607987279
232	0.08584679961
233	0.08569924036
234	0.08557850168
235	0.08538167802
236	0.08522910073
237	0.08510519775
238	0.08486095777
239	0.08471250279
240	0.08454570382
241	0.08449283563
242	0.0844623421
243	0.08429706444
244	0.08419543404
245	0.0840181344
246	0.08386417037
247	0.0837248014
248	0.08354244325
249	0.08338546549
250	0.08326211451
251	0.08309111217
252	0.08297184946
253	0.08285865981
254	0.08280513226
255	0.08277710039
256	0.08255879927
257	0.08243410578
258	0.08235185912
259	0.0821850545
260	0.08202503121
261	0.08187270411
262	0.08171858217
263	0.08162753184
264	0.0815414786
265	0.08151524345
266	0.08136363054
267	0.08133447781
268	0.08111215387
269	0.08105730574
270	0.08092887825
271	0.08088106125
272	0.08070987519
273	0.08053774252
274	0.0803599179
275	0.08020298236
276	0.08009953746
277	0.07996664612
278	0.07981176675
279	0.07958145896
280	0.07947932045
281	0.07936869062
282	0.07929666008
283	0.07908704774
284	0.07893581816
285	0.07885897172
286	0.07871138983
287	0.07859675627
288	0.07843552403
289	0.07828768496
290	0.07823749613
291	0.07814805195
292	0.07802429832
293	0.0778881068
294	0.07772304596
295	0.077585272
296	0.07748381386
297	0.07738103136
298	0.07719566818
299	0.07709719801
